Placeholder;Ref_Placeholder
worklistViewTitle;lblGoodsAcceptance
worklistTitle;lblGoodsAcceptance
worklistTableTitle;lblDeliveries
vhStorageLocName;lblDepot
PurchaseOrder;lblOrder
worklistSearchTooltip;lblSearch_
WorklistTableSearchPlaceholder;lblSearch_
worklistNoDataWithSearchText;lblNoOpenDeliveries
worklistTableTitleCount;lblDeliveriesCount
tableNameColumnTitle;lblSerialNumber
tableUnitNumberColumnTitle;lblQTYDelivery
Supplier;lblSupplier
ReceivedColumnTitle;lblQTYReceived
RemainingColumnTitle;lblQTYOpen
MaterialNumberLabel;lblMaterial
tableNoDataText;lblNoOpenDeliveries
backToWorklist;Obsolete
objectViewTitle;lblEquipmentDetail
objectTitle;lblDeliveries
storageLocLabel;lblDepot
detailPanelTitle;lblDeliveryDetails
addPicturesText;lblAddPictures
createNotification;lblCreateIncident
DeliveryQuantityLabel;lblQTYDelivery
DeliveryNote;lblDeliveryNote
DeliveryPosition;lblItem
MaterialNumber;lblMaterial
MaterialDescription;lblMaterialDescription
Quantity;lblQuantity
DeliveryNoteNumber;lblDeliveryNote
Damage;lblDamage
notifCreateConfirmTitle;lblCreateIncident
notifConfirmDialogText;Obsolete
notifConfirmContinueText;lblContinue
notifConfirmCancelText;lblCancel
TopDeskDialogLongtext;Obsolete
TopDeskDialogButton;Obsolete
vhSupplierTitle;lblSupplier
vhSupplierName;lblSupplier
vhSupplierLabelId;lblSupplierId
vhSupplierLabelName;lblSupplierName
addPicturesText;lblAddPictures
addPicturesClose;lblClose
exceptionalNotificationButtonText;lblCreateIncident
exceptionalNotificationInstructionText;Obsolete
notifCreateConfirmTitle;lblCreateIncident
notifConfirmDialogText;Obsolete
notifConfirmContinueText;lblContinue
notifConfirmCancelText;lblCancel
createExceptionNotification;lblCreateIncident
reasonForNotificationCreation;Obsolete
cancel;lblCancel
confirm;lblConfirm
subgroup;lblSubgroup
supplierSerialnumber;lblSupplierSerialNumber
confirmationNextStepSuccess;msgReceiptCompleted
confirmationNextStepWarning;msgReceiptCompletedAcceptanceOpen
confirmationNextStepTitle;msgGoodsReceiptPosted
columnTitleOutstanding;lblQuantity
openQuantityInd;lblOpen
columnTitleDelivery;lblDelivery
columnTitleMaterial;lblMaterial
columnTitleSubGroup;lblSubgroup
columnTitleEquipment;Obsolete
columnTitleSerialNo;lblSerialNumber
columnTitleDeliveryDate;lblDeliveryDate
columnTitleStorageLoc;lblDepot
columnTitleItem;lblItem
columnTitleSupplierSerialnumber;lblSupplierSerialNumber
columnTitleSupplier;lblSupplier
columnTitleMaterialDescription;lblMaterialDescription
columnTitleSubgroup;lblSubgroup
columnTitleSupplierBatch;lblSupplierBatch
columnTitlePostingNr;lblPostingNr
columnTitlePostingDate;lblPostingDate
columnTitlePostingTime;lblPostingTime
columnTitlePostedBy;lblPostedBy
columnTitlePostingStatus;lblPostingStatus
columnTitleReceivedQuantity;lblQTYReceived
columnTitleUoM;lblUoM
panelTitleHistory;lblHistory
deliveryHistoryButton;lblHistory
labelPostingDate;lblPastNumberOfDays
labelSearch;lblSearch
SearchDelNotePictureTitle;lblSearch
DamageDialogTitle;lblDamage
btnUploadFile;lblUploadFile
NoComposedItems;lblNoComposedItems
Subgroup;lblSubgroup
POCreatedByColumnTitle;lblPOCreatedBy
EquipmentNrColumnTitle;lblEquipmentNumber
btnClose;lblClose
NotifDescription;Obsolete
dialogCloseButtonText;lblClose
lblDepot;lblDepot
lblReasonNotificationCreation;Obsolete
dialogCreateButtonText;lblCreate
NoTopdeskTickets;lblNoTopdeskTickets
columnTicketnumber;lblIncidentNumber
columnSubject;lblSubject
columnStatus;lblStatus
btnNoDeliveryDote;lblNoDeliveryNote
btnIncorrectItem;lblIncorrectItem
btnOverUnderdelivery;lblOverUnderdelivery
componentsPanelTitle;lblComponents
titleTickets;lblIncidents
Close;lblClose
Confirm;lblConfirm
EquipmentNumber;lblEquipmentNumber
btnCancel;lblCancel
NotifReceivedQty;msgReceivedQTYPositive
btnStorno;lblRevert
columnTitleStornoQty;lblQTYRevert
msgStornoSuccess;msgStornoPosted
